RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Garrett Temple, SF",SAC,65,24.8,79,1.2,2.3,1.57,0.72
,"Skal Labissiere, PF",SAC,60,20.7,73,1.2,2.8,0.99,0.34
,"Lauri Markkanen, PF",CHI,68,29.7,83,1.2,2.0,0.95,0.47
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Malcolm Delaney, PG",ATL,54,18.8,66,1.2,3.1,2.47,0.53
,"Tony Parker, PG",SA,55,19.5,68,1.2,3.0,2.87,0.41
,"Danilo Gallinari, SF",LAC,21,32.0,26,1.2,1.9,1.58,0.50
,"Darren Collison, PG",IND,69,29.2,86,1.2,2.0,4.28,1.07
275,"Frank Mason III, PG",SAC,52,18.9,65,1.3,3.2,2.26,0.52
,"Isaiah Taylor, G",ATL,67,17.4,84,1.3,3.5,2.45,0.40
,"Tyson Chandler, C",PHX,46,25.0,59,1.3,2.5,0.90,0.27
,"Brandon Jennings, G",MIL,14,14.6,18,1.3,4.2,2.44,0.33
,"Matthew Dellavedova, PG",MIL,38,18.7,49,1.3,3.3,2.96,0.29
,"Shelvin Mack, G",ORL,69,19.8,89,1.3,3.1,3.06,0.61
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
281,"TJ Warren, SF",PHX,65,33.0,84,1.3,1.9,1.01,0.77
,"George Hill, PG",CLE/SAC,67,27.0,88,1.3,2.3,2.11,0.69
,"Wesley Matthews, SG",DAL,63,33.8,83,1.3,1.9,2.07,0.92
,"Jameer Nelson, PG",NO/DET,50,20.3,67,1.3,3.2,2.67,0.40
,"Dwight Buycks, G",DET,29,14.7,39,1.3,4.4,1.51,0.49
286,"Mike James, PG",NO/PHX,36,19.1,49,1.4,3.4,2.57,0.57
,"Rudy Gay, SF",SA,57,21.6,78,1.4,3.0,0.94,0.59
,"Kobi Simmons, PG",MEM,32,20.1,44,1.4,3.3,1.55,0.41
,"Malcolm Brogdon, PG",MIL,48,29.9,66,1.4,2.2,2.30,0.62
,"JaMychal Green, PF",MEM,55,28.0,76,1.4,2.4,1.04,0.42
RK,PLAYER,TEAM,GP,MPG,TO,TOPG,TOP48,AST/TO,STL/TO
,"Dewayne Dedmon, C",ATL,62,24.9,86,1.4,2.7,1.05,0.47
,"Alan Williams, C",PHX,5,14.0,7,1.4,4.8,1.14,0.71
,"Josh Gray, PG",PHX,5,17.2,7,1.4,3.9,1.71,1.14
,"Derrick Rose, PG",CLE/MIN,25,16.8,35,1.4,4.0,1.06,0.20
,"Dante Exum, PG",UTAH,14,16.8,20,1.4,4.1,2.15,0.40
