RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
280,"Dwight Buycks, G",DET,29,14.7,39,1.3,4.4,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
281,"Omri Casspi, SF",GS,53,14.0,71,1.3,4.6,0,1,0
,"Willy Hernangomez, C",NY/CHA,48,10.3,64,1.3,6.2,1,1,0
,"Willie Reed, C",DET/LAC,42,10.2,56,1.3,6.3,1,0,0
,"Khem Birch, C",ORL,42,13.8,56,1.3,4.7,0,0,0
,"Mike James, PG",NO/PHX,36,19.1,48,1.3,3.4,0,0,0
,"Jason Smith, PF",WSH,33,8.6,44,1.3,7.4,0,1,0
,"Jimmy Butler, SG",MIN,59,36.7,78,1.3,1.7,0,3,0
,"Shelvin Mack, G",ORL,69,19.8,91,1.3,3.2,0,1,0
,"Boban Marjanovic, C",DET/LAC,39,8.7,51,1.3,7.2,0,1,0
,"Wesley Iwundu, SF",ORL,62,16.5,81,1.3,3.8,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Gary Payton II, PG",LAL/MIL,23,9.6,30,1.3,6.5,0,0,0
,"Channing Frye, PF",CLE/LAL,53,13.1,69,1.3,4.8,1,0,0
,"Milton Doyle, SG",BKN,10,12.5,13,1.3,5.0,0,0,0
,"Cedi Osman, SF",CLE,61,11.0,78,1.3,5.6,0,0,0
,"Noah Vonleh, PF",CHI/POR,54,16.2,68,1.3,3.7,0,0,0
,"Timofey Mozgov, C",BKN,31,11.6,39,1.3,5.2,0,0,0
,"Emmanuel Mudiay, PG",DEN/NY,64,19.4,80,1.3,3.1,0,0,0
,"Johnny O'Bryant III, PF",CHA,36,10.5,45,1.3,5.7,0,0,0
,"Marshall Plumlee, C",MIL,8,6.5,10,1.3,9.2,0,0,0
,"Jonathan Gibson, G",BOS,4,10.0,5,1.3,6.0,0,0,0
RK,PLAYER,TEAM,GP,MPG,PF,PFPG,PFP48M,FLAG,TECH,EJECT
,"Mangok Mathiang, PF",CHA,4,5.0,5,1.3,12.0,0,0,0
302,"Joe Johnson, SG",HOU/UTAH,55,21.9,67,1.2,2.7,0,0,0
,"J.J. Barea, PG",DAL,69,23.2,83,1.2,2.5,0,4,0
,"Derrick Jones Jr., SF",MIA/PHX,20,12.3,24,1.2,4.7,0,0,0
,"Adreian Payne, PF",ORL,5,8.6,6,1.2,6.7,0,0,0
,"Trey Burke, PG",NY,36,21.8,43,1.2,2.6,1,0,0
