RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Lance Thomas, SF",NY,73,18.5,30,0.41,1.06,41,0.56,134,0.73,0.22
,"Trey Lyles, PF",DEN,73,19.1,30,0.41,1.04,61,0.84,111,0.49,0.27
,"Ed Davis, PF",POR,78,18.9,32,0.41,1.04,66,0.85,188,0.48,0.17
,"Brook Lopez, C",LAL,74,23.4,30,0.41,0.83,98,1.32,195,0.31,0.15
,"Anthony Tolliver, PF",DET,79,22.2,32,0.41,0.87,58,0.73,144,0.55,0.22
226,"Terrance Ferguson, SG",OKC,61,12.5,24,0.39,1.51,11,0.18,83,2.18,0.29
,"Alex Len, C",PHX,69,20.2,27,0.39,0.93,78,1.13,158,0.35,0.17
,"Brandon Paul, G",SA,64,9.0,25,0.39,2.08,29,0.45,58,0.86,0.43
,"Jarrett Allen, C",BKN,72,20.0,28,0.39,0.93,82,1.14,147,0.34,0.19
230,"Jerami Grant, SF",OKC,81,20.3,31,0.38,0.90,54,0.67,155,0.57,0.20
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
,"Serge Ibaka, PF",TOR,76,27.5,29,0.38,0.67,90,1.18,209,0.32,0.14
,"Jodie Meeks, SG",WSH,77,14.5,29,0.38,1.24,37,0.48,55,0.78,0.53
,"Jonas Valanciunas, C",TOR,77,22.4,29,0.38,0.81,115,1.49,192,0.25,0.15
234,"Ryan Anderson, PF",HOU,66,26.1,24,0.36,0.67,42,0.64,126,0.57,0.19
,"Maximilian Kleber, PF",DAL,72,16.8,26,0.36,1.03,30,0.42,114,0.87,0.23
,"Salah Mejri, C",DAL,61,12.0,22,0.36,1.45,39,0.64,121,0.56,0.18
,"Cedi Osman, SF",CLE,61,11.0,22,0.36,1.57,32,0.52,78,0.69,0.28
238,"Bryn Forbes, SG",SA,80,19.0,28,0.35,0.89,37,0.46,108,0.76,0.26
239,"Darius Miller, SF",NO,82,23.7,28,0.34,0.69,58,0.71,160,0.48,0.18
,"Davis Bertans, C",SA,77,14.1,26,0.34,1.15,36,0.47,93,0.72,0.28
RK,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
241,"Troy Daniels, SG",PHX,79,20.5,26,0.33,0.77,56,0.71,137,0.46,0.19
,"Sam Dekker, SF",LAC,73,12.1,24,0.33,1.30,33,0.45,71,0.73,0.34
243,"Jonas Jerebko, PF",UTAH,74,15.3,24,0.32,1.02,27,0.36,127,0.89,0.19
,"JaVale McGee, C",GS,65,9.5,21,0.32,1.64,27,0.42,91,0.78,0.23
,"Malik Monk, SG",CHA,63,13.5,20,0.32,1.13,49,0.78,60,0.41,0.33
246,"Pau Gasol, C",SA,77,23.5,24,0.31,0.64,108,1.40,121,0.22,0.20
